City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
224,Pangnirtung,CA,2023-01-22 17:24:58,66.1451,-65.7125,-4.0,77,75,9.22
225,Enumclaw,US,2023-01-22 17:22:38,47.2043,-121.9915,39.24,96,100,1.01
226,Tuatapere,NZ,2023-01-22 17:25:59,-46.1333,167.6833,49.37,69,91,3.74
227,Tasiilaq,GL,2023-01-22 17:25:59,65.6145,-37.6368,10.56,49,30,11.63
228,Sungairaya,ID,2023-01-22 17:25:59,0.7,108.9,77.22,89,100,1.61
229,Geraldton,AU,2023-01-22 17:26:00,-28.7667,114.6,70.21,83,100,13.8
230,Souillac,MU,2023-01-22 17:26:00,-20.5167,57.5167,79.18,83,75,3.44
231,Yulara,AU,2023-01-22 17:26:01,-25.2406,130.9889,82.6,41,18,7.09
232,Tam Ky,VN,2023-01-22 17:26:01,15.5667,108.4833,69.21,95,48,2.37
233,Leonidovo,RU,2023-01-22 17:26:01,49.2833,142.8667,-11.9,90,23,6.06
234,Menongue,AO,2023-01-22 17:26:02,-14.6585,17.691,65.35,88,100,5.53
235,Werda,BW,2023-01-22 17:26:02,-25.2667,23.2833,91.96,18,46,6.82
236,Sao Filipe,CV,2023-01-22 17:26:03,14.8961,-24.4956,70.25,65,12,13.4
237,Thunder Bay,CA,2023-01-22 17:26:03,48.4001,-89.3168,24.78,68,20,9.22
238,Pontian Kecil,MY,2023-01-22 17:26:04,1.4801,103.3899,79.32,93,98,6.82
239,Suntar,RU,2023-01-22 17:26:04,62.1444,117.6319,-25.87,90,100,9.89
240,Sisimiut,GL,2023-01-22 17:26:04,66.9395,-53.6735,19.51,94,100,19.13
241,Mandera,KE,2023-01-22 17:26:05,3.9366,41.867,89.44,20,98,11.1
242,Gamba,GA,2023-01-22 17:26:05,-2.65,10.0,80.76,76,88,5.75
243,Bafata,GW,2023-01-22 17:26:06,12.1667,-14.75,95.27,14,99,2.53
244,Bandarbeyla,SO,2023-01-22 17:26:06,9.4942,50.8122,76.06,68,32,18.37
245,Grants,US,2023-01-22 17:26:06,35.1473,-107.8514,21.43,68,0,0.0
246,Harer,ET,2023-01-22 17:26:07,9.3094,42.1258,63.1,43,19,8.48
247,Greytown,ZA,2023-01-22 17:26:07,-29.0642,30.5928,67.44,81,1,7.47
248,Olavarria,AR,2023-01-22 17:26:07,-36.8927,-60.3225,87.62,30,3,13.67
249,Agdas,AZ,2023-01-22 17:26:08,40.65,47.4761,35.47,79,7,1.39
250,Oranjemund,NA,2023-01-22 17:26:08,-28.55,16.4333,66.99,88,11,16.82
251,Bosaso,SO,2023-01-22 17:26:08,11.2842,49.1816,75.94,65,64,11.43
252,Los Llanos De Aridane,ES,2023-01-22 17:26:09,28.6585,-17.9182,61.12,88,75,18.41
253,Codrington,AU,2023-01-22 17:26:09,-38.2667,141.9667,59.05,97,28,6.11
254,Provideniya,RU,2023-01-22 17:26:10,64.3833,-173.3,-15.25,89,100,15.5
255,Carutapera,BR,2023-01-22 17:26:10,-1.195,-46.02,80.89,84,70,8.14
256,Mackay,AU,2023-01-22 17:26:11,-21.15,149.2,73.69,79,11,5.88
257,Zaysan,KZ,2023-01-22 17:26:11,47.4667,84.8667,-12.5,65,2,4.59
258,Kenora,CA,2023-01-22 17:26:11,49.8167,-94.4337,9.57,85,40,6.91
259,High Rock,BS,2023-01-22 17:26:12,26.6208,-78.2833,78.82,78,94,17.9
260,Ketchikan,US,2023-01-22 17:26:12,55.3422,-131.6461,37.87,93,100,4.61
261,Lompoc,US,2023-01-22 17:26:12,34.6391,-120.4579,54.84,70,0,19.57
262,Bungu,TZ,2023-01-22 17:26:13,-7.6337,39.0582,75.69,86,100,4.99
263,Erenhot,CN,2023-01-22 17:26:13,43.6475,111.9767,-4.18,85,100,11.68
264,Mae Chan,TH,2023-01-22 17:26:14,20.1467,99.8526,65.23,53,5,2.33
265,Salina,US,2023-01-22 17:21:46,38.8403,-97.6114,31.01,77,0,10.36
266,Maltahohe,NA,2023-01-22 17:26:14,-24.8333,16.9833,76.98,47,92,3.11
267,Dikson,RU,2023-01-22 17:26:14,73.5069,80.5464,-5.42,97,100,27.42
